InstructorID,InstructorName,DepartmentID,Email,HireDate
2430,Dr. Sabrina Dixon,3,coreyjohnson@fcai.edu.eg,2017-11-16 00:00:00
2431,Dr. William Berg,5,jennifer24@fcai.edu.eg,2018-08-08 00:00:00
2432,Dr. Rebecca Rowland,4,jon03@fcai.edu.eg,2019-08-06 00:00:00
2433,Dr. Morgan Hamilton,3,richardcarlson@fcai.edu.eg,2017-01-20 00:00:00
2434,Dr. Morgan Wall,6,jacksonkarla@fcai.edu.eg,2017-07-30 00:00:00
2435,Dr. Lance Harrell,5,deborah06@fcai.edu.eg,2016-06-23 00:00:00
2436,Dr. Colleen Gamble,7,ericsalinas@fcai.edu.eg,2016-01-15 00:00:00
2437,Dr. Matthew Smith,8,ellisdestiny@fcai.edu.eg,2021-06-12 00:00:00
2438,Dr. Ashley Wright,2,andreahill@fcai.edu.eg,2020-07-29 00:00:00
2439,Dr. Joshua Baxter,2,christinagriffith@fcai.edu.eg,2019-01-19 00:00:00
2440,Dr. Phillip Stevens,6,montgomerytroy@fcai.edu.eg,2018-06-23 00:00:00
2441,Dr. Cole Williams,2,onealerica@fcai.edu.eg,2017-10-22 00:00:00
2442,Dr. Paul Mcgee,7,rrodriguez@fcai.edu.eg,2020-09-13 00:00:00
2443,Dr. Tara Woods,4,charles58@fcai.edu.eg,2017-07-26 00:00:00
2444,Dr. Tara Herrera,7,fordcharles@fcai.edu.eg,2023-01-07 00:00:00
2445,Dr. William Freeman,8,wayneclark@fcai.edu.eg,2019-01-17 00:00:00
2446,Dr. Amy Smith,3,ryangreen@fcai.edu.eg,2017-03-06 00:00:00
2447,Dr. Patricia Williamson,5,josephwhite@fcai.edu.eg,2018-04-05 00:00:00
2448,Dr. Steven Ray,6,bradleyrobert@fcai.edu.eg,2022-11-30 00:00:00
2449,Dr. James Foster,1,farrellscott@fcai.edu.eg,2017-10-24 00:00:00
2450,Dr. Scott Sanders,8,gwalsh@fcai.edu.eg,2021-10-19 00:00:00
2451,Dr. Julie Liu,2,amandajackson@fcai.edu.eg,2019-04-22 00:00:00
2452,Dr. Jason Doyle,6,smithjeffery@fcai.edu.eg,2019-02-01 00:00:00
2453,Dr. Lawrence Tate,5,josephmcdonald@fcai.edu.eg,2017-06-06 00:00:00
2454,Dr. Andrew Walter,1,gomezkevin@fcai.edu.eg,2019-03-24 00:00:00
2455,Dr. Keith Stevens,3,alexisjones@fcai.edu.eg,2017-07-10 00:00:00
2456,Dr. Donna Evans,6,xfisher@fcai.edu.eg,2020-04-05 00:00:00
2457,Dr. Tonya Rodriguez,2,holly10@fcai.edu.eg,2022-05-28 00:00:00
2458,Dr. Scott Joseph,4,alex07@fcai.edu.eg,2018-02-22 00:00:00
2459,Dr. Thomas Huerta,3,jeffery64@fcai.edu.eg,2021-11-27 00:00:00
2460,Dr. Angel Alvarado,8,glenn22@fcai.edu.eg,2017-05-19 00:00:00
2461,Dr. Brandon King,5,jonathansmith@fcai.edu.eg,2022-07-06 00:00:00
2462,Dr. Kevin Johnson,7,markrodriguez@fcai.edu.eg,2021-06-06 00:00:00
2463,Dr. Michele Ortega,4,daydana@fcai.edu.eg,2016-09-09 00:00:00
2464,Dr. Cynthia Holloway,7,tiffany54@fcai.edu.eg,2018-11-18 00:00:00
2465,Dr. Whitney Peterson,4,lisa80@fcai.edu.eg,2022-10-26 00:00:00
2466,Dr. Mary Ramos,4,cschneider@fcai.edu.eg,2015-06-02 00:00:00
2467,Dr. Michael Lee,2,andrew35@fcai.edu.eg,2018-05-10 00:00:00
2468,Dr. Susan Hall,2,megan69@fcai.edu.eg,2022-10-19 00:00:00
2469,Dr. Michael Smith,1,eric94@fcai.edu.eg,2015-12-18 00:00:00
2470,Dr. Jeremy Robbins,7,michelle15@fcai.edu.eg,2015-10-18 00:00:00
2471,Dr. Melinda Rivera,2,lauren13@fcai.edu.eg,2018-10-02 00:00:00
2472,Dr. Jim Hughes,8,jamiethomas@fcai.edu.eg,2016-08-31 00:00:00
2473,Dr. Gerald Johnson,6,wwilkinson@fcai.edu.eg,2023-01-13 00:00:00
2474,Dr. Kelsey Bowman,6,kevin59@fcai.edu.eg,2015-05-14 00:00:00
2475,Dr. Jacob Moore,7,bjohnson@fcai.edu.eg,2016-03-24 00:00:00
2476,Dr. Stephen Robinson,5,huffcaroline@fcai.edu.eg,2018-03-27 00:00:00
2477,Dr. Charles Daugherty,6,stefaniehuffman@fcai.edu.eg,2018-03-08 00:00:00
60,Dr. Shannon Sims,7,andrewschristian@fcai.edu.eg,2017-05-31 00:00:00
61,Dr. Debra Chavez,4,lfrederick@fcai.edu.eg,2015-07-22 00:00:00
62,Dr. John Abbott,2,inash@fcai.edu.eg,2021-03-31 00:00:00
63,Dr. Brandon Allen,1,barbervincent@fcai.edu.eg,2022-12-24 00:00:00
64,Dr. Derek Hernandez,3,james96@fcai.edu.eg,2017-03-17 00:00:00
65,Dr. Stephen Phillips,2,usmith@fcai.edu.eg,2016-01-26 00:00:00
66,Dr. Catherine Bradshaw,5,devon60@fcai.edu.eg,2022-05-05 00:00:00
67,Dr. Emily Cordova,6,brandon05@fcai.edu.eg,2021-08-02 00:00:00
68,Dr. Beth Willis,3,nicoleashley@fcai.edu.eg,2015-03-01 00:00:00
69,Dr. Dana Clark,4,allenbrooke@fcai.edu.eg,2022-10-03 00:00:00
70,Dr. Gabrielle Johnson,6,morganedward@fcai.edu.eg,2017-02-21 00:00:00
71,Dr. Katie Davis,4,lauraferguson@fcai.edu.eg,2021-09-17 00:00:00
72,Dr. Richard Schmidt,7,williamstone@fcai.edu.eg,2017-02-23 00:00:00
73,Dr. Anne Brown,3,jeffarmstrong@fcai.edu.eg,2017-08-10 00:00:00
74,Dr. Elizabeth English,6,albertdavid@fcai.edu.eg,2019-06-08 00:00:00
75,Dr. Christy Mccullough,6,carrkyle@fcai.edu.eg,2022-11-24 00:00:00
76,Dr. Anthony Lewis,1,kbennett@fcai.edu.eg,2015-02-19 00:00:00
77,Dr. Shannon Strong,8,villarrealanthony@fcai.edu.eg,2015-07-10 00:00:00
78,Dr. Charles Brady,5,kcrosby@fcai.edu.eg,2017-04-26 00:00:00
79,Dr. Lonnie Mendez,4,jlee@fcai.edu.eg,2022-05-28 00:00:00
80,Dr. Kristen Lee,4,zacharybaker@fcai.edu.eg,2016-08-28 00:00:00
81,Dr. Lisa Cross,2,johnsondeborah@fcai.edu.eg,2021-06-13 00:00:00
82,Dr. Jackson Clay,3,dkelley@fcai.edu.eg,2019-02-24 00:00:00
83,Dr. Christine Mosley,6,vasqueznathan@fcai.edu.eg,2019-05-26 00:00:00
84,Dr. Deborah Morgan,6,matthewherman@fcai.edu.eg,2015-10-23 00:00:00
85,Dr. Matthew Pierce,6,beltranbrandi@fcai.edu.eg,2019-12-05 00:00:00
86,Dr. Diane Ortiz,6,curtis95@fcai.edu.eg,2021-01-22 00:00:00
87,Dr. Robert Reynolds,7,leslie34@fcai.edu.eg,2021-03-29 00:00:00
88,Dr. Karen Davis,6,qcochran@fcai.edu.eg,2016-03-14 00:00:00
89,Dr. Jeremy Erickson,7,juan56@fcai.edu.eg,2017-12-17 00:00:00
90,Dr. Steven Gregory,6,michael21@fcai.edu.eg,2019-08-28 00:00:00
91,Dr. Traci King,1,dawnblack@fcai.edu.eg,2017-05-18 00:00:00
92,Dr. Monica Kaiser,8,kathy62@fcai.edu.eg,2022-04-23 00:00:00
93,Dr. Carolyn Cruz,2,qwashington@fcai.edu.eg,2015-09-24 00:00:00
94,Dr. Kristi Gibson,6,cassandrawatts@fcai.edu.eg,2016-10-16 00:00:00
95,Dr. Cynthia Hernandez,8,danielle21@fcai.edu.eg,2018-11-27 00:00:00
96,Dr. Russell Clark,3,robinclark@fcai.edu.eg,2021-04-26 00:00:00
97,Dr. Gina Taylor,6,aaronhunter@fcai.edu.eg,2016-10-21 00:00:00
98,Dr. Randall Martinez,5,clarkebrad@fcai.edu.eg,2015-05-16 00:00:00
99,Dr. Sharon Brown,5,malonerobert@fcai.edu.eg,2017-10-09 00:00:00
100,Dr. Thomas Ferguson,6,scott24@fcai.edu.eg,2017-01-13 00:00:00
101,Dr. Blake Armstrong,2,sarahcordova@fcai.edu.eg,2016-03-04 00:00:00
102,Dr. Richard Savage,3,jquinn@fcai.edu.eg,2015-06-06 00:00:00
103,Dr. Christina Bond,1,robertmurillo@fcai.edu.eg,2016-02-19 00:00:00
104,Dr. Mariah Guzman,4,qmoore@fcai.edu.eg,2023-01-24 00:00:00
105,Dr. Derrick Stewart,5,malikcooper@fcai.edu.eg,2021-10-24 00:00:00
106,Dr. James Romero,7,stephanieharris@fcai.edu.eg,2019-10-03 00:00:00
107,Dr. Charles Davidson,1,eduardoflores@fcai.edu.eg,2022-02-26 00:00:00
108,Dr. Samuel Silva,6,patrickvalencia@fcai.edu.eg,2022-05-21 00:00:00
109,Dr. Johnathan Myers,1,bobby08@fcai.edu.eg,2019-09-17 00:00:00
110,Dr. Leonard Owen,7,evelazquez@fcai.edu.eg,2017-02-14 00:00:00
111,Dr. Mary Miller,1,scottwilliams@fcai.edu.eg,2023-01-20 00:00:00
112,Dr. Tracy Porter,3,samuelclark@fcai.edu.eg,2022-12-13 00:00:00
113,Dr. Heather Miller,5,marshstephen@fcai.edu.eg,2021-03-29 00:00:00
114,Dr. Edward Lee,1,david76@fcai.edu.eg,2022-10-29 00:00:00
115,Dr. Loretta Shaw,4,shelleybrown@fcai.edu.eg,2016-12-16 00:00:00
116,Dr. Kendra Phillips,1,ericrice@fcai.edu.eg,2021-12-17 00:00:00
117,Dr. Kenneth Porter,7,bberg@fcai.edu.eg,2015-05-08 00:00:00
118,Dr. Mark Jordan,8,robinsonyolanda@fcai.edu.eg,2022-07-17 00:00:00
119,Dr. Sarah Smith,7,faulknererin@fcai.edu.eg,2022-02-16 00:00:00
120,Dr. Emily Baldwin,2,burgessjustin@fcai.edu.eg,2017-07-02 00:00:00
121,Dr. Bryan Morrison,4,shayes@fcai.edu.eg,2018-04-19 00:00:00
122,Dr. Rebecca Le,7,debbierosales@fcai.edu.eg,2015-10-06 00:00:00
123,Dr. Eric Brown,1,william93@fcai.edu.eg,2017-02-18 00:00:00
124,Dr. Amanda Combs,5,tuckerashley@fcai.edu.eg,2016-07-23 00:00:00
125,Dr. Brittany Vasquez,7,joshuaowens@fcai.edu.eg,2017-04-08 00:00:00
126,Dr. Richard Brown,1,sara67@fcai.edu.eg,2019-04-17 00:00:00
127,Dr. Sherry Miller,7,christina42@fcai.edu.eg,2022-09-05 00:00:00
128,Dr. Patricia Walters,5,bjohnson@fcai.edu.eg,2020-06-16 00:00:00
129,Dr. Brianna Contreras,7,yhernandez@fcai.edu.eg,2015-07-15 00:00:00
130,Dr. Hannah Kramer,4,halljeanette@fcai.edu.eg,2015-06-13 00:00:00
131,Dr. Connie Smith,6,hunteramanda@fcai.edu.eg,2019-08-22 00:00:00
132,Dr. Jessica Webb,3,alyssa31@fcai.edu.eg,2021-03-21 00:00:00
133,Dr. Christopher Stevens,7,laceyandrews@fcai.edu.eg,2018-03-11 00:00:00
134,Dr. Anthony Simon,6,kmullen@fcai.edu.eg,2016-06-16 00:00:00
135,Dr. Nicholas Porter,8,colemanchase@fcai.edu.eg,2021-07-15 00:00:00
136,Dr. Erin Williams,5,michaelcook@fcai.edu.eg,2022-10-16 00:00:00
137,Dr. Joseph Curry,4,markmyers@fcai.edu.eg,2017-04-06 00:00:00
138,Dr. Brett Andrews,8,nrichards@fcai.edu.eg,2021-01-16 00:00:00
139,Dr. Jonathan Berry,3,casey79@fcai.edu.eg,2015-11-12 00:00:00
140,Dr. Mark Jackson,1,teresathompson@fcai.edu.eg,2019-07-15 00:00:00
141,Dr. Jaclyn Warren,2,flemingjennifer@fcai.edu.eg,2016-03-20 00:00:00
142,Dr. Brandi Bowen,8,michael26@fcai.edu.eg,2020-04-21 00:00:00
143,Dr. Mario Baker,2,campbellbrittney@fcai.edu.eg,2020-03-26 00:00:00
144,Dr. Christina Bradford,2,sbell@fcai.edu.eg,2020-05-22 00:00:00
145,Dr. Micheal Green,5,iduncan@fcai.edu.eg,2017-06-28 00:00:00
146,Dr. Jessica Sims,2,stephanie30@fcai.edu.eg,2015-04-16 00:00:00
147,Dr. Gilbert Ramirez,1,tracey81@fcai.edu.eg,2020-04-02 00:00:00
148,Dr. Jennifer Carpenter,5,cgarza@fcai.edu.eg,2016-12-11 00:00:00
149,Dr. Sharon York,7,timothy42@fcai.edu.eg,2015-08-13 00:00:00
150,Dr. Kelly Abbott,1,jpierce@fcai.edu.eg,2020-03-09 00:00:00
151,Dr. Denise Schwartz,3,tylerjames@fcai.edu.eg,2015-10-31 00:00:00
152,Dr. Derrick Anderson,7,jacobestes@fcai.edu.eg,2015-06-27 00:00:00
153,Dr. Reginald Alvarez,8,rodriguezjohn@fcai.edu.eg,2018-05-17 00:00:00
154,Dr. Michael Martin,7,xross@fcai.edu.eg,2021-06-19 00:00:00
155,Dr. Sara Sanchez,3,rcoffey@fcai.edu.eg,2016-02-17 00:00:00
156,Dr. Elizabeth Hughes,7,patricksantiago@fcai.edu.eg,2020-03-11 00:00:00
157,Dr. Jennifer Brooks,3,henry19@fcai.edu.eg,2015-08-18 00:00:00
158,Dr. Katherine White,2,leekevin@fcai.edu.eg,2018-10-02 00:00:00
159,Dr. Jose Hernandez,2,sjohnson@fcai.edu.eg,2017-05-17 00:00:00
160,Dr. Miguel Hill,1,qclay@fcai.edu.eg,2016-01-21 00:00:00
161,Dr. Lisa Gamble,3,mindy56@fcai.edu.eg,2016-04-27 00:00:00
162,Dr. Shawn Morgan,1,hansendaniel@fcai.edu.eg,2018-01-29 00:00:00
163,Dr. Marissa Scott,1,maciaskristen@fcai.edu.eg,2022-03-15 00:00:00
164,Dr. Deanna Davis,1,coffeyjerry@fcai.edu.eg,2023-01-06 00:00:00
165,Dr. Charles Wilson,8,fmcdowell@fcai.edu.eg,2021-10-31 00:00:00
166,Dr. Christine Jones,6,ekennedy@fcai.edu.eg,2016-01-24 00:00:00
167,Dr. Dawn Reynolds,5,james35@fcai.edu.eg,2019-08-07 00:00:00
168,Dr. Tiffany Dalton,6,denisegeorge@fcai.edu.eg,2016-04-15 00:00:00
169,Dr. Travis Lewis,2,alexis90@fcai.edu.eg,2018-08-26 00:00:00
170,Dr. Karen Alvarez,7,hpatton@fcai.edu.eg,2022-11-19 00:00:00
171,Dr. Kelsey Johnson,4,kaylee78@fcai.edu.eg,2020-11-04 00:00:00
172,Dr. Gary Walker,8,boothstephanie@fcai.edu.eg,2015-11-27 00:00:00
173,Dr. David Murphy,6,floresjohn@fcai.edu.eg,2016-09-15 00:00:00
174,Dr. Jonathan Parker,5,rebecca06@fcai.edu.eg,2019-05-09 00:00:00
175,Dr. Tracy Richard,8,deanjaime@fcai.edu.eg,2019-06-01 00:00:00
176,Dr. James Davis,6,lauren79@fcai.edu.eg,2019-04-11 00:00:00
177,Dr. James Martin,2,mhubbard@fcai.edu.eg,2015-11-11 00:00:00
178,Dr. Jordan Hart,4,barnescarla@fcai.edu.eg,2022-06-12 00:00:00
179,Dr. Russell Phillips,3,ybrown@fcai.edu.eg,2017-12-13 00:00:00
180,Dr. Philip Pitts,1,meganolsen@fcai.edu.eg,2020-01-12 00:00:00
181,Dr. Darrell Hardy,2,raymond65@fcai.edu.eg,2015-03-15 00:00:00
182,Dr. Robert Peters,6,kodom@fcai.edu.eg,2023-03-15 00:00:00
183,Dr. Steven Chapman,1,robinsonanna@fcai.edu.eg,2015-09-10 00:00:00
184,Dr. Mary Ramirez,2,goldenannette@fcai.edu.eg,2018-05-28 00:00:00
185,Dr. Donald Fritz,6,travis87@fcai.edu.eg,2019-01-15 00:00:00
186,Dr. Karen Brown,8,paynealexis@fcai.edu.eg,2020-12-30 00:00:00
187,Dr. James Holt,1,eharris@fcai.edu.eg,2016-05-25 00:00:00
188,Dr. Mary Wood,2,dandrade@fcai.edu.eg,2018-05-06 00:00:00
189,Dr. Brian Hernandez,2,mindy28@fcai.edu.eg,2017-11-25 00:00:00
190,Dr. Kyle Orr,7,michelle95@fcai.edu.eg,2022-10-28 00:00:00
191,Dr. Michael Perry,4,mjohnson@fcai.edu.eg,2019-08-27 00:00:00
192,Dr. Jill Morrison,6,nicholasgray@fcai.edu.eg,2021-04-12 00:00:00
193,Dr. Chelsea Sanchez,2,charlesdickerson@fcai.edu.eg,2020-06-26 00:00:00
194,Dr. Ronnie Hester,7,iponce@fcai.edu.eg,2018-06-12 00:00:00
195,Dr. Robert Brooks,8,xsims@fcai.edu.eg,2016-06-02 00:00:00
196,Dr. David Chambers,3,derrickmoyer@fcai.edu.eg,2019-10-29 00:00:00
197,Dr. Matthew Brown,3,daniel18@fcai.edu.eg,2017-08-22 00:00:00
198,Dr. James Shelton,3,amber22@fcai.edu.eg,2018-05-18 00:00:00
199,Dr. William Wilson,4,lowechristopher@fcai.edu.eg,2022-11-11 00:00:00
200,Dr. Robert Knight,6,martincharles@fcai.edu.eg,2016-11-25 00:00:00
201,Dr. Cassidy Fuentes,1,ojenkins@fcai.edu.eg,2018-04-04 00:00:00
202,Dr. Gary Powell,2,brian68@fcai.edu.eg,2019-11-20 00:00:00
203,Dr. Dawn Jackson,1,jimenezelizabeth@fcai.edu.eg,2019-09-21 00:00:00
204,Dr. Richard Atkinson,3,davenportmckenzie@fcai.edu.eg,2016-01-07 00:00:00
205,Dr. George Garcia,7,raymondgalloway@fcai.edu.eg,2023-01-02 00:00:00
206,Dr. Donald Lewis,2,danielarmstrong@fcai.edu.eg,2016-05-12 00:00:00
207,Dr. James Page,8,williamsangela@fcai.edu.eg,2022-08-13 00:00:00
208,Dr. Alexis Martinez,7,juliemartin@fcai.edu.eg,2019-12-23 00:00:00
209,Dr. Patrick Blair,1,joshuadavis@fcai.edu.eg,2020-03-31 00:00:00
210,Dr. Mary Martinez,1,tina34@fcai.edu.eg,2017-03-18 00:00:00
211,Dr. Alan Carson,7,wellsjoshua@fcai.edu.eg,2016-12-02 00:00:00
212,Dr. Erin Martinez,5,brian85@fcai.edu.eg,2017-09-04 00:00:00
213,Dr. Alexander Ali,1,katherinegray@fcai.edu.eg,2018-10-24 00:00:00
214,Dr. Daniel Boone,5,kirsten24@fcai.edu.eg,2020-06-28 00:00:00
215,Dr. William Williams,8,andersonashley@fcai.edu.eg,2016-03-09 00:00:00
216,Dr. Angela Ramsey,7,selena80@fcai.edu.eg,2015-10-20 00:00:00
217,Dr. Lauren Owens,8,richardsonmark@fcai.edu.eg,2018-10-08 00:00:00
218,Dr. Crystal Thomas,7,blevinsmelissa@fcai.edu.eg,2016-08-07 00:00:00
219,Dr. Michele Cohen,4,porterjo@fcai.edu.eg,2022-09-20 00:00:00
220,Dr. Jasmine Moran,8,barbarajohnson@fcai.edu.eg,2020-06-10 00:00:00
221,Dr. William Hall,8,romerojermaine@fcai.edu.eg,2022-03-26 00:00:00
222,Dr. Lisa Barton,6,herrerateresa@fcai.edu.eg,2020-08-13 00:00:00
223,Dr. Katie Reynolds,8,taylorbrittany@fcai.edu.eg,2023-01-24 00:00:00
224,Dr. Ethan Smith,8,mfernandez@fcai.edu.eg,2019-02-06 00:00:00
225,Dr. Jack Cross,3,aaron18@fcai.edu.eg,2020-10-07 00:00:00
226,Dr. Matthew Davis,8,pduncan@fcai.edu.eg,2021-11-23 00:00:00
227,Dr. Amy Hamilton,7,cynthia49@fcai.edu.eg,2020-02-25 00:00:00
228,Dr. Theodore Robertson,2,mark01@fcai.edu.eg,2017-11-23 00:00:00
229,Dr. Jorge Harris,3,gina88@fcai.edu.eg,2022-06-17 00:00:00
230,Dr. Erika Blackburn,2,qmeyer@fcai.edu.eg,2021-05-22 00:00:00
231,Dr. Heather White,1,fergusoncharles@fcai.edu.eg,2017-06-28 00:00:00
232,Dr. Meghan Shaffer,2,jorgeayala@fcai.edu.eg,2021-02-25 00:00:00
233,Dr. Jack Williams,6,peterburgess@fcai.edu.eg,2020-06-03 00:00:00
234,Dr. Kimberly Foster,6,nroberts@fcai.edu.eg,2021-03-13 00:00:00
235,Dr. Katie Martinez,6,ymartin@fcai.edu.eg,2020-05-02 00:00:00
236,Dr. John Ruiz,5,steven15@fcai.edu.eg,2019-02-03 00:00:00
237,Dr. Jeffrey Jefferson,3,catherineshields@fcai.edu.eg,2019-02-10 00:00:00
238,Dr. Victor Palmer,2,martinezgary@fcai.edu.eg,2019-05-06 00:00:00
239,Dr. Matthew Knight,5,aking@fcai.edu.eg,2019-08-14 00:00:00
240,Dr. Andrew Wagner,7,kristen96@fcai.edu.eg,2022-03-24 00:00:00
241,Dr. Joanne Marsh,1,ruizgloria@fcai.edu.eg,2017-12-06 00:00:00
242,Dr. Matthew Mcintosh,4,lhaynes@fcai.edu.eg,2016-12-22 00:00:00
243,Dr. Carol Bishop,8,irobles@fcai.edu.eg,2021-09-27 00:00:00
244,Dr. Amanda Weber,5,thomas09@fcai.edu.eg,2017-11-18 00:00:00
245,Dr. Jacqueline Briggs,1,ykim@fcai.edu.eg,2017-05-28 00:00:00
246,Dr. Luke Marsh,4,matthewcarter@fcai.edu.eg,2021-07-20 00:00:00
247,Dr. Cindy Davis,3,randy34@fcai.edu.eg,2021-02-13 00:00:00
248,Dr. Brittney Cruz,6,stephaniegraham@fcai.edu.eg,2016-03-18 00:00:00
249,Dr. Julie Murray,4,destiny15@fcai.edu.eg,2019-09-29 00:00:00
250,Dr. Adam Collins,2,dennisjessica@fcai.edu.eg,2016-09-09 00:00:00
251,Dr. James Gonzalez,7,littleanthony@fcai.edu.eg,2015-12-01 00:00:00
252,Dr. Amanda Williams,8,kristine49@fcai.edu.eg,2016-08-02 00:00:00
253,Dr. James Clark,8,smarshall@fcai.edu.eg,2015-06-13 00:00:00
254,Dr. Jason Freeman,5,melaniespears@fcai.edu.eg,2017-01-31 00:00:00
